 ID,Fuel,Boiling Point (K)
103,Methane,111.65
104,Triptane,353.95
105,"2,2-Dimethylpropane",282.65
106,"2,2-Dimethylbutane",322.85
107,Vinylacetylene ,278.25
108,Methylacetylene,249.95
109,"1,3-Butadiene",268.75
110,1-Heptyne,372.85
111,2-Pentene,309.883
112,Diisobutylene,374.35
113,Methanol,337.85
114,Isopropyl mercaptan ,325.65
115,Isopropyl alcohol ,183.65
116,Allyl chloride ,318.25
117,n-Propyl chloride ,319.65
118,Isopropyl chloride ,308.85
119,Isopropylamine ,304.85
120,Propionaldehyde ,321.15
121,Vinyl acetate ,345.65
122,Dimethoxymethane ,315.15
123,Dimethyl sulfide ,310.45
124,Di-tert-butyl peroxide,384.15
125,Furan ,304.65
126,Thiophene,357.15
127,Ethylene oxide,283.75
128,Dihydropyran ,359.15
129,Ethylenimine ,329.15
130,Tetrahydrofuran ,338.15
131,Cyclopentadiene,314.15
132,Tetrahydropyran,361.15
